DAY,DATE,UTC,CALLSIGN,PR,MESSAGE,Q,LN,SPECIFICATION,E6,NOTES,SOURCE,SET
SAT,2023.07.01,18:00,NEW DEAL,T5,T5F3G2AC2UWG2JM36MZOIELO72OEQM,>,30,FOR ANITA 1,? (FOR),,,SET-3
SAT,2023.07.01,18:30,NEW DEAL,YL,YLMOGC6MB4OLCI3H4JW35XQT2EOL4A,,30,,,,,SET-3
SAT,2023.07.01,19:36,NEW DEAL,YL,YLQB6GQYX67XIFSUS7ERWEXTFG3NTP,,30,,,,,SET-3
SAT,2023.07.01,20:27,NEW DEAL,YL,YLSJVUAPPGCQQBTHT66ANXLLYERP3Q,,30,,,,,SET-3
SAT,2023.07.01,20:30,NEW DEAL,YL,YLSJVUAPPGCQQBTHT66ANXLLYERP3Q,,30,,,,,SET-3
SAT,2023.07.01,20:56,NEW DEAL,YL,YL3ZEUVQAEIFDLA5JSTVPAEA4FGJIH,,30,,,,,SET-3
SAT,2023.07.01,20:59,NEW DEAL,YL,YLDT4EBWWBDJDMVD5EJWLINCPZUQJA,,30,,,,,SET-3
SAT,2023.07.01,21:04,NEW DEAL,YL,YLDT4EBWWBDJDMVD5EJWLINCPZUQJA,&,30,,,,,SET-3
SAT,2023.07.01,21:04,NEW DEAL,YL,YL3ZEUVQAEIFDLA5JSTVPAEA4FGJIH,&,30,,,,,SET-3
SAT,2023.07.01,21:04,NEW DEAL,YL,YLSJVUAPPGCQQBTHT66ANXLLYERP3Q,,30,,,,,SET-3
SAT,2023.07.01,21:30,NEW DEAL,YL,YLDT4EBWWBDJDMVD5EJWLINCPZUQJA,&,30,,,,,SET-3
SAT,2023.07.01,21:30,NEW DEAL,YL,YL3ZEUVQAEIFDLA5JSTVPAEA4FGJIH,&,30,,,,,SET-3
SAT,2023.07.01,21:30,NEW DEAL,YL,YLSJVUAPPGCQQBTHT66ANXLLYERP3Q,,30,,,,,SET-3
SAT,2023.07.01,22:00,NEW DEAL,YL,YLDT4EBWWBDJDMVD5EJWLINCPZUQJA,&,30,,,,,SET-3
SAT,2023.07.01,22:00,NEW DEAL,YL,YL3ZEUVQAEIFDLA5JSTVPAEA4FGJIH,&,30,,,,,SET-3
SAT,2023.07.01,22:00,NEW DEAL,YL,YLSJVUAPPGCQQBTHT66ANXLLYERP3Q,,30,,,,,SET-3
SUN,2023.07.02,22:42,NEWMAN,YL,YLBWGFN34IZWDKAOIEDFMOXQHBC32D,,30,,,,,SET-3
MON,2023.07.03,02:32,COCKFIGHT,YL,YLC2M32ZKDJ3EVT7RMGSPAQTJOGZRB,,30,,,,,SET-3
MON,2023.07.03,02:40,NAMEPLATE,YL,YLC2M32ZKDJ3EVT7RMGSPAQTJOGZRB,,30,,,,,SET-3
MON,2023.07.03,03:10,NAMEPLATE,YL,YLC2M32ZKDJ3EVT7RMGSPAQTJOGZRB,,30,,,,,SET-3
MON,2023.07.03,03:40,NAMEPLATE,YL,YLC2M32ZKDJ3EVT7RMGSPAQTJOGZRB,,30,,,,,SET-3
MON,2023.07.03,09:15,COCKFIGHT,YL,YL5UVYX5EAE6DX34CHMFPKIBHVAUDG,,30,,,,,SET-3
MON,2023.07.03,21:33,COCKFIGHT,YL,YLMC3STIIOY2ZLJZBBOUECX33WPUOZ,,30,,,,,SET-3
MON,2023.07.03,22:00,COCKFIGHT,YL,YLMC3STIIOY2ZLJZBB,\,18,,,,,SET-3
TUE,2023.07.04,18:33,REAR DOOR,YL,YLXEJHEAYHPEWFF46O4XPCQOV4SN2L,,30,,,,,SET-3
TUE,2023.07.04,22:12,REAR DOOR,T5,T55KUAIFM3PV6BFHB2ITVNS6MHOGKK,>,30,FOR KELSY 19,AE041B (FOR),,,SET-3
TUE,2023.07.04,22:43,REAR DOOR,YL,YLTZ2WAXBACDPQLJV3VDKDEUYDVQRI,,30,,,,,SET-3
WED,2023.07.05,02:42,ACTIVATED,YL,YLCNSVE3HBDB3ZE6KNIXC4MGN2SXJF,,30,,,,,SET-3
WED,2023.07.05,16:20,ACTIVATED,T5,T5VDOEGB642LF33G45QCOPMNM2LRRW,>,30,FOR FLUNE 25,? (FOR),,,SET-3
WED,2023.07.05,16:50,ACTIVATED,YL,YL4SEGSLV2JWECAQDIRI5LNZKEAJBG,,30,,,,,SET-3
WED,2023.07.05,17:00,ACTIVATED,YL,YL4SEGSLV2JWECAQDIRI5LNZKEAJBG,,30,,,,,SET-3
WED,2023.07.05,17:06,ACTIVATED,T5,T5NIQJ3U37MEPSFBR2T4Z4Q5HELUUL,,30,,,,,SET-3
WED,2023.07.05,22:42,ACTIVATED,YL,YLRJLPSDTOHGISBLFQQC7XZIUA4PTI,,30,,,,,SET-3
WED,2023.07.05,23:10,CLAY BIRD,YL,YLRJLPSDTOHGISBLFQQC7XZIUA4PTI,,30,,,,,SET-3
WED,2023.07.05,23:40,CLAY BIRD,YL,YLRJLPSDTOHGISBLFQQC7XZIUA4PTI,,30,,,,,SET-3
THU,2023.07.06,00:10,HANDBALL,YL,YLRJLPSDTOHGISBLFQQC7XZIUA4PTI,,30,,,,,SET-3
